iter	Passed	Remaining
0	9	24814
1	18	23149
2	27	22798
3	35	22317
4	45	22516
5	54	22550
6	64	22888
7	74	23181
8	82	22949
9	92	22926
10	101	22854
11	110	22876
12	119	22766
13	127	22677
14	135	22445
15	143	22339
16	152	22212
17	161	22241
18	171	22345
19	179	22286
20	188	22198
21	196	22164
22	205	22131
23	213	22071
24	222	22052
25	231	22069
26	239	21946
27	249	22000
28	260	22181
29	271	22381
30	280	22333
31	290	22387
32	299	22359
33	308	22357
34	317	22363
35	327	22395
36	336	22410
37	345	22389
38	354	22363
39	362	22313
40	372	22370
41	381	22332
42	390	22299
43	398	22267
44	408	22263
45	418	22326
46	428	22365
47	439	22434
48	450	22559
49	466	22864
50	480	23053
51	492	23174
52	502	23211
53	512	23236
54	521	23202
55	531	23182
56	539	23135
57	550	23167
58	559	23154
59	569	23174
60	580	23194
61	589	23168
62	598	23135
63	606	23102
64	616	23079
65	624	23033
66	633	23001
67	641	22956
68	650	22902
69	659	22888
70	667	22836
71	678	22895
72	690	22953
73	700	22967
74	711	22989
75	721	23011
76	731	23024
77	742	23067
78	755	23152
79	767	23205
80	781	23336
81	792	23368
82	802	23370
83	811	23343
84	822	23367
85	833	23408
86	844	23430
87	856	23465
88	866	23483
89	877	23490
90	888	23528
91	899	23550
92	909	23534
93	918	23514
94	929	23524
95	938	23495
96	948	23499
97	958	23502
98	969	23517
99	981	23561
100	990	23525
101	1001	23553
102	1010	23505
103	1019	23498
104	1029	23480
105	1039	23466
106	1047	23437
107	1056	23389
108	1065	23371
109	1073	23323
110	1082	23307
111	1092	23285
112	1102	23280
113	1111	23258
114	1120	23239
115	1131	23258
116	1143	23299
117	1155	23318
118	1166	23332
119	1177	23345
120	1188	23373
121	1198	23369
122	1209	23373
123	1220	23390
124	1231	23399
125	1242	23418
126	1256	23476
127	1268	23511
128	1281	23545
129	1291	23550
130	1303	23569
131	1316	23615
132	1328	23642
133	1340	23664
134	1349	23646
135	1359	23630
136	1369	23616
137	1378	23602
138	1390	23616
139	1401	23618
140	1410	23604
141	1421	23597
142	1434	23648
143	1447	23680
144	1457	23666
145	1466	23652
146	1475	23620
147	1484	23592
148	1493	23557
149	1501	23527
150	1511	23513
151	1520	23480
152	1532	23502
153	1540	23472
154	1550	23454
155	1560	23441
156	1569	23419
157	1579	23416
158	1588	23392
159	1597	23364
160	1606	23340
161	1616	23331
162	1627	23339
163	1639	23348
164	1649	23341
165	1659	23329
166	1668	23303
167	1678	23297
168	1688	23292
169	1700	23310
170	1713	23344
171	1724	23343
172	1734	23331
173	1744	23322
174	1754	23314
175	1764	23293
176	1775	23299
177	1785	23291
178	1796	23293
179	1808	23314
180	1820	23326
181	1831	23332
182	1845	23366
183	1857	23378
184	1869	23398
185	1881	23402
186	1893	23418
187	1905	23429
188	1916	23439
189	1928	23440
190	1939	23443
191	1952	23473
192	1965	23494
193	1977	23502
194	1988	23508
195	2000	23511
196	2012	23526
197	2023	23527
198	2034	23526
199	2046	23534
200	2060	23565
201	2072	23578
202	2083	23576
203	2095	23589
204	2108	23600
205	2119	23608
206	2131	23613
207	2143	23618
208	2155	23632
209	2168	23651
210	2181	23665
211	2194	23682
212	2207	23702
213	2220	23715
214	2233	23734
215	2245	23745
216	2258	23764
217	2272	23792
218	2283	23784
219	2293	23770
220	2304	23768
221	2316	23769
222	2326	23757
223	2337	23747
224	2346	23726
225	2355	23696
226	2363	23669
227	2373	23654
228	2382	23628
229	2391	23606
230	2400	23580
231	2409	23555
232	2420	23550
233	2430	23536
234	2440	23524
235	2453	23535
236	2465	23537
237	2478	23552
238	2489	23555
239	2501	23552
240	2512	23551
241	2523	23548
242	2537	23566
243	2549	23573
244	2561	23578
245	2574	23589
246	2588	23606
247	2600	23614
248	2612	23621
249	2625	23628
250	2639	23652
251	2654	23676
252	2665	23675
253	2677	23674
254	2690	23687
255	2701	23683
256	2714	23690
257	2726	23695
258	2740	23711
259	2752	23717
260	2765	23720
261	2778	23736
262	2794	23766
263	2810	23800
264	2825	23832
265	2838	23836
266	2851	23847
267	2865	23863
268	2878	23869
269	2890	23872
270	2904	23887
271	2916	23891
272	2931	23910
273	2944	23919
274	2955	23911
275	2965	23896
276	2975	23876
277	2983	23848
278	2994	23834
279	3003	23814
280	3013	23797
281	3021	23767
282	3032	23755
283	3041	23730
284	3049	23701
285	3058	23679
286	3067	23654
287	3077	23635
288	3086	23611
289	3094	23585
290	3104	23563
291	3113	23540
292	3122	23520
293	3131	23499
294	3141	23481
295	3150	23460
296	3159	23436
297	3169	23418
298	3178	23398
299	3187	23376
300	3197	23356
301	3205	23331
302	3214	23308
303	3224	23290
304	3232	23266
305	3241	23241
306	3250	23221
307	3259	23199
308	3269	23180
309	3278	23158
310	3287	23136
311	3295	23111
312	3304	23092
313	3314	23072
314	3323	23055
315	3332	23033
316	3341	23010
317	3350	22986
318	3358	22962
319	3367	22939
