Id,Year,Position,School,clean_school,Height,Weight,best_name,best_pos,best_school,best_penalty,best_draft_ovr,margin,second_name,second_drafted,same_school_not_drafted_count,same_school_drafted_count,in_draft_picks
2781,2017,OG,Pittsburgh,pittsburgh,1.9558,136.077711,Dorian Johnson,OG,Pittsburgh,-7.0,115.0,1.7,Adam Bisnowaty,True,1,5,True
2782,2013,CB,William & Mary,williammary,1.778,83.46099608,B.W. Webb,CB,William & Mary,-7.0,114.0,5.02,Johnny Adams,False,0,1,True
2783,2018,RB,Alabama,alabama,1.8542,103.4190604,Bo Scarbrough,RB,Alabama,-7.0,236.0,4.45,Shaun dion Hamilton,True,4,10,True
2784,2009,RB,Georgia,georgia,1.8034,98.42954429,Knowshon Moreno,RB,Georgia,-7.0,12.0,3.57,Mohamed Massaquoi,True,2,6,True
2785,2018,CB,Alabama,alabama,1.8288,83.91458845,Anthony Averett,CB,Alabama,-7.0,118.0,0.06,Levi Wallace,False,4,10,True
2789,2013,TE,Michigan St.,michiganst,1.9558,118.8412009,Dion Sims,TE,Michigan State,-7.0,106.0,5.78,Travis Kelce,True,1,3,True
2790,2010,DE,USC,southerncalifornia,1.905,123.830717,Everson Griffen,DE,USC,-7.0,100.0,5.4,Greg Middleton,False,4,7,True
2791,2014,DE,Missouri,missouri,1.9304,123.830717,Kony Ealy,DE,Missouri,-7.0,60.0,4.07,Michael Sam,True,3,4,True
2792,2016,CB,Virginia,virginia,1.8542,87.54332741,Maurice Canady,CB,Virginia,-7.0,209.0,5.4,Deandre Elliott,False,0,1,True
2795,2013,ILB,Florida,florida,1.8288,110.2229459,Jelani Jenkins,ILB,Florida,-7.0,104.0,1.51,Jon Bostic,True,2,8,True
2796,2011,WR,Alabama,alabama,1.905,99.7903214,Julio Jones,WR,Alabama,-7.0,6.0,1.45,Greg McElroy,True,0,5,True
2798,2009,OT,Alabama,alabama,1.9304,150.5926668,Andre Smith,OT,Alabama,-7.0,6.0,5.45,Cornelius Lewis,False,1,4,True
2801,2011,WR,Pittsburgh,pittsburgh,1.9304,103.4190604,Jon Baldwin,WR,Pittsburgh,-7.0,26.0,1.59,Pat Devlin,False,2,5,False
2803,2009,DE,LSU,louisianastate,1.9304,134.2633415,Tyson Jackson,DE,LSU,-7.0,3.0,1.46,Ricky Jean-Francois,True,3,6,True
2804,2017,OLB,West Georgia,westgeorgia,1.905,112.4909078,Dylan Donahue,OLB,West Georgia,-7.0,181.0,5.02,Tyus Bowser,True,0,1,True
2807,2014,WR,Clemson,clemson,1.9304,95.70799007,Martavis Bryant,WR,Clemson,-7.0,118.0,4.02,Sammy Watkins,True,0,5,True
2808,2012,CB,LSU,louisianastate,1.8034,85.27536556,Morris Claiborne,CB,LSU,-7.0,6.0,0.51,Ron Brooks,True,3,5,True
2810,2011,DE,California,california,1.9304,130.1810102,Cameron Jordan,DE,California,-7.0,24.0,5.25,Christian Ballard,True,0,4,True
2811,2016,QB,Indiana,indiana,1.9812,106.1406146,Nate Sudfeld,QB,Indiana,-7.0,187.0,5.51,Joel Stave,False,1,3,True
2812,2016,CB,Florida,florida,1.778,92.53284348,Vernon Hargreaves III,CB,Florida,-7.0,11.0,3.57,Keanu Neal,True,1,7,True
2814,2009,FB,Syracuse,syracuse,1.8288,111.1301307,Tony Fiammetta,FB,Syracuse,-7.0,128.0,5.14,Marcus Mailei,False,0,1,True
2815,2014,TE,Notre Dame,notredame,1.9812,122.4699399,Troy Niklas,TE,Notre Dame,-7.0,52.0,5.46,Nic Jacobs,False,1,8,True
2817,2012,OG,Syracuse,syracuse,1.9304,146.9639279,Andrew Tiller,OG,Syracuse,-7.0,179.0,5.02,Johnnie Troutman,True,1,3,True
2818,2014,DE,South Carolina,southcarolina,1.9558,120.6555704,Jadeveon Clowney,DE,South Carolina,-7.0,1.0,5.0,Kerry Wynn,False,3,2,True
2819,2016,WR,Mississippi,mississippi,1.8796,100.2439138,Laquon Treadwell,WR,Mississippi,-7.0,23.0,4.51,Cody Core,True,1,5,True
2820,2016,RB,Notre Dame,notredame,1.8288,99.7903214,C.J. Prosise,RB,Notre Dame,-7.0,90.0,4.25,Elijah Shumate,False,3,7,True
2821,2016,CB,North Carolina St.,northcarolinast,1.8288,96.16158244,Juston Burris,CB,North Carolina State,-7.0,118.0,4.4,Shadrach Thornton,False,2,3,True
2823,2013,WR,Tennessee,tennessee,1.8796,97.97595192,Cordarrelle Patterson,WR,Tennessee,-7.0,29.0,5.02,Aaron Mellette,True,1,4,True
2826,2018,OT,Ohio St.,ohiost,1.9304,135.6241186,Jamarco Jones,OT,Ohio State,-7.0,168.0,1.57,Billy Price,True,4,7,True
2827,2012,OT,Auburn,auburn,1.9812,142.4280042,Brandon Mosley,OT,Auburn,-7.0,131.0,5.02,Andrew Datko,True,1,1,True
2830,2011,OT,Florida,florida,1.9812,149.6854821,Marcus Gilbert,OT,Florida,-7.0,63.0,5.25,Chris Hairston,True,3,4,True
2831,2011,DT,Oregon St.,oregonst,1.8542,137.4384881,Stephen Paea,DT,Oregon State,-7.0,53.0,4.46,Alex Linnenkohl,False,1,2,True
2833,2012,OLB,Oklahoma,oklahoma,1.8796,114.7588696,Ronnell Lewis,OLB,Oklahoma,-7.0,125.0,1.22,Travis Lewis,True,0,7,True
2834,2015,QB,Oregon St.,oregonst,1.9812,103.8726527,Sean Mannion,QB,Oregon State,-7.0,89.0,6.79,Brandon Bridge,False,0,3,True
