Id,Year,Position,School,match_name,match_school,match_pos,match_draft_ovr,penalty,h_diff_in,w_diff_lb,exact_match,in_dp_exact,in_dp_clean,similar_last_names_dp,school_matches
2781,2017,OG,Pittsburgh,Dorian Johnson,Pittsburgh,OG,115.0,-7.0,0.0,0.0,True,True,True,7,True
2782,2013,CB,William & Mary,B.W. Webb,William & Mary,CB,114.0,-7.0,0.0,0.0,True,True,False,1,True
2783,2018,RB,Alabama,Bo Scarbrough,Alabama,RB,236.0,-7.0,0.0,0.0,True,True,True,1,True
2784,2009,RB,Georgia,Knowshon Moreno,Georgia,RB,12.0,-7.0,0.0,0.0,True,True,True,1,True
2785,2018,CB,Alabama,Anthony Averett,Alabama,CB,118.0,-7.0,0.0,0.0,True,True,True,1,True
2789,2013,TE,Michigan St.,Dion Sims,Michigan State,TE,106.0,-7.0,0.0,0.0,True,True,True,2,True
2790,2010,DE,USC,Everson Griffen,USC,DE,100.0,-7.0,0.0,0.0,True,True,True,1,True
2791,2014,DE,Missouri,Kony Ealy,Missouri,DE,60.0,-7.0,0.0,0.0,True,True,True,1,True
2792,2016,CB,Virginia,Maurice Canady,Virginia,CB,209.0,-7.0,0.0,0.0,True,True,True,1,True
2795,2013,ILB,Florida,Jelani Jenkins,Florida,ILB,104.0,-7.0,0.0,0.0,True,True,True,6,True
2796,2011,WR,Alabama,Julio Jones,Alabama,WR,6.0,-7.0,0.0,0.0,True,True,True,11,True
2798,2009,OT,Alabama,Andre Smith,Alabama,OT,6.0,-7.0,0.0,0.0,True,True,True,12,True
2801,2011,WR,Pittsburgh,Jon Baldwin,Pittsburgh,WR,26.0,-7.0,0.0,0.0,True,False,False,1,True
2803,2009,DE,LSU,Tyson Jackson,LSU,DE,3.0,-7.0,0.0,0.0,True,True,True,7,True
2804,2017,OLB,West Georgia,Dylan Donahue,West Georgia,OLB,181.0,-7.0,0.0,0.0,True,True,True,1,True
2807,2014,WR,Clemson,Martavis Bryant,Clemson,WR,118.0,-7.0,0.0,0.0,True,True,True,3,True
2808,2012,CB,LSU,Morris Claiborne,LSU,CB,6.0,-7.0,0.0,0.0,True,True,True,1,True
2810,2011,DE,California,Cameron Jordan,California,DE,24.0,-7.0,0.0,0.0,True,True,True,1,True
2811,2016,QB,Indiana,Nate Sudfeld,Indiana,QB,187.0,-7.0,0.0,0.0,True,True,True,1,True
2812,2016,CB,Florida,Vernon Hargreaves III,Florida,CB,11.0,-7.0,0.0,0.0,True,True,False,3,True
2814,2009,FB,Syracuse,Tony Fiammetta,Syracuse,FB,128.0,-7.0,0.0,0.0,True,True,True,1,True
2815,2014,TE,Notre Dame,Troy Niklas,Notre Dame,TE,52.0,-7.0,0.0,0.0,True,True,True,1,True
2817,2012,OG,Syracuse,Andrew Tiller,Syracuse,OG,179.0,-7.0,0.0,0.0,True,True,True,1,True
2818,2014,DE,South Carolina,Jadeveon Clowney,South Carolina,DE,1.0,-7.0,0.0,0.0,True,True,True,1,True
2819,2016,WR,Mississippi,Laquon Treadwell,Mississippi,WR,23.0,-7.0,0.0,0.0,True,True,True,1,True
2820,2016,RB,Notre Dame,C.J. Prosise,Notre Dame,RB,90.0,-7.0,0.0,0.0,True,True,False,1,True
2821,2016,CB,North Carolina St.,Juston Burris,North Carolina State,CB,118.0,-7.0,0.0,0.0,True,True,True,1,True
2823,2013,WR,Tennessee,Cordarrelle Patterson,Tennessee,WR,29.0,-7.0,0.0,0.0,True,True,True,1,True
2826,2018,OT,Ohio St.,Jamarco Jones,Ohio State,OT,168.0,-7.0,0.0,0.0,True,True,True,12,True
2827,2012,OT,Auburn,Brandon Mosley,Auburn,OT,131.0,-7.0,0.0,0.0,True,True,True,1,True
2830,2011,OT,Florida,Marcus Gilbert,Florida,OT,63.0,-7.0,0.0,0.0,True,True,True,1,True
2831,2011,DT,Oregon St.,Stephen Paea,Oregon State,DT,53.0,-7.0,0.0,0.0,True,True,True,1,True
2833,2012,OLB,Oklahoma,Ronnell Lewis,Oklahoma,OLB,125.0,-7.0,0.0,0.0,True,True,True,3,True
2834,2015,QB,Oregon St.,Sean Mannion,Oregon State,QB,89.0,-7.0,0.0,0.0,True,True,True,1,True
2837,2019,QB,Auburn,Jarrett Stidham,Auburn,QB,133.0,-7.0,0.0,0.0,True,True,True,1,True
2839,2014,OG,Notre Dame,Chris Watt,Notre Dame,OG,89.0,-7.0,0.0,0.0,True,True,True,1,True
2840,2014,CB,Maryland,Dexter McDougle,Maryland,CB,80.0,-7.0,0.0,0.0,True,True,True,1,True
