Id,Year,Position,School,best_name,best_draft_ovr,best_pos,best_pen,best_h_diff,best_w_diff,alt_name,alt_draft_ovr,alt_pos,alt_pen,margin
2975,2009,DT,Georgia Tech,Darryl Richard,234.0,DT,-7.0,0.0,0.0,Vance Walker,210.0,DT,-6.9841,0.0159
2785,2018,CB,Alabama,Anthony Averett,118.0,CB,-7.0,0.0,0.0,Levi Wallace,,CB,-6.9365,0.0635
3000,2017,SS,Colorado,Tedric Thompson,111.0,S,-3.0,0.0,0.0,Chidobe Awuzie,60.0,CB,-2.9365,0.0635
3014,2015,WR,Maryland,Stefon Diggs,146.0,WR,-7.0,0.0,0.0,Deon Long,,WR,-6.8571,0.1429
3089,2019,WR,Ohio St.,Terry McLaurin,76.0,WR,-7.0,0.0,0.0,Parris Campbell,59.0,WR,-6.8571,0.1429
3154,2018,S,Penn St.,Troy Apke,109.0,S,-7.0,0.0,0.0,Marcus Allen,148.0,S,-6.746,0.254
3137,2010,RB,LSU,Charles Scott,200.0,RB,-7.0,0.0,0.0,Keiland Williams,,RB,-6.6031,0.3969
2897,2016,DT,Alabama,Jarran Reed,49.0,DT,-7.0,0.0,0.0,A'Shawn Robinson,46.0,DT,-6.5532,0.4468
3128,2015,CB,Florida St.,P.J. Williams,78.0,CB,-7.0,0.0,0.0,Ronald Darby,50.0,CB,-6.5373,0.4627
3174,2010,ILB,Penn St.,Sean Lee,55.0,ILB,-7.0,0.0,0.0,Josh Hull,254.0,ILB,-6.5373,0.4627
3130,2016,FS,Ohio St.,Vonn Bell,61.0,S,-3.0,0.0,0.0,Jalin Marshall,,WR,-2.5373,0.4627
3393,2010,CB,Alabama,Javier Arenas,50.0,CB,-7.0,0.0,0.0,Kareem Jackson,20.0,CB,-6.5373,0.4627
2808,2012,CB,LSU,Morris Claiborne,6.0,CB,-7.0,0.0,0.0,Ron Brooks,124.0,CB,-6.4897,0.5103
2839,2014,OG,Notre Dame,Chris Watt,89.0,OG,-7.0,0.0,0.0,Zack Martin,16.0,OG,-6.4897,0.5103
3411,2015,SS,Central Florida,Clayton Geathers,109.0,S,-3.0,0.0,0.0,Breshad Perriman,26.0,WR,-2.4285,0.5715
3281,2016,RB,Arkansas,Alex Collins,171.0,RB,-7.0,0.0,0.0,Jonathan Williams,156.0,RB,-6.4103,0.5897
2957,2011,RB,North Carolina,Johnny White,133.0,RB,-7.0,0.0,0.0,Shaun Draughn,,RB,-6.2992,0.7008
2852,2010,OLB,Texas,Roddrick Muckelroy,131.0,OLB,-7.0,0.0,0.0,Sergio Kindle,43.0,OLB,-6.2992,0.7008
3181,2015,OT,Florida,D.J. Humphries,24.0,OT,-7.0,0.0,0.0,Chaz Green,91.0,OT,-6.2221,0.7779
2854,2015,OT,Florida,Chaz Green,91.0,OT,-7.0,0.0,0.0,D.J. Humphries,24.0,OT,-6.2221,0.7779
2926,2019,OT,Ohio St.,Michael Jordan,136.0,OT,-7.0,0.0,0.0,Isaiah Prince,202.0,OT,-6.2221,0.7779
3103,2019,OT,Wisconsin,David Edwards,169.0,OT,-7.0,0.0,0.0,Beau Benzschawel,,OL,-5.9841,1.0159
3030,2019,CB,Mississippi,Ken Webster,252.0,CB,-7.0,0.0,0.0,Zedrick Woods,,S,-5.9365,1.0635
3247,2019,OT,Florida,Jawaan Taylor,35.0,OT,-7.0,0.0,0.0,Martez Ivey,,OL,-5.8571,1.1429
3380,2015,ILB,Clemson,Stephone Anthony,31.0,ILB,-7.0,0.0,0.0,Vic Beasley,8.0,OLB,-5.8571,1.1429
2916,2017,FS,Washington,Budda Baker,36.0,S,-3.0,0.0,0.0,John Ross,9.0,WR,-1.7753,1.2247
2987,2016,OT,Mississippi,Laremy Tunsil,13.0,OT,-7.0,0.0,0.0,Fahn Cooper,174.0,OT,-5.7753,1.2247
2833,2012,OLB,Oklahoma,Ronnell Lewis,125.0,OLB,-7.0,0.0,0.0,Travis Lewis,223.0,OLB,-5.7753,1.2247
3161,2015,C,Florida St.,Cameron Erving,19.0,C,-7.0,0.0,0.0,Josue Matias,,OG,-5.746,1.254
3009,2014,SS,San Diego St.,Nat Berhe,152.0,S,-3.0,0.0,0.0,Adam Muema,,RB,-1.7141,1.2859
3005,2012,OG,Wisconsin,Kevin Zeitler,27.0,OG,-7.0,0.0,0.0,Peter Konz,55.0,C,-5.5532,1.4468
